Lieferrichtung: Bezug
Ablesezeitpunkt;Zaehlerstand Gesamt - 1.8.0;Verbrauch Gesamt - 1.8.0;Status Gesamt - 1.8.0;Zaehlerstand Hochtarif - 1.8.1;Verbrauch Hochtarif - 1.8.1;Status Hochtarif - 1.8.1;Zaehlerstand Niedertarif - 1.8.2;Verbrauch Niedertarif - 1.8.2;Status Niedertarif - 1.8.2
2024-09-01T10:15:00.000+02:00;1859,044;0,001;VAL;;;;;;
2024-09-01T10:30:00.000+02:00;1859,056;0,012;VAL;;;;;;
2024-09-01T10:45:00.000+02:00;1859,057;0,001;VAL;;;;;;
2024-09-01T11:00:00.000+02:00;1859,057;;VAL;;;;;;
2024-09-01T11:15:00.000+02:00;1859,063;0,006;VAL;;;;;;
2024-09-01T11:30:00.000+02:00;1859,069;0,006;VAL;;;;;;
2024-09-01T11:45:00.000+02:00;1859,069;;VAL;;;;;;
2024-09-01T12:00:00.000+02:00;1859,07;0,001;VAL;;;;;;
2024-09-01T12:15:00.000+02:00;1859,078;0,008;VAL;;;;;;
2024-09-01T12:30:00.000+02:00;1859,079;0,001;VAL;;;;;;
2024-09-01T12:45:00.000+02:00;1859,079;;VAL;;;;;;
2024-09-01T13:00:00.000+02:00;1859,083;0,004;VAL;;;;;;
2024-09-01T13:15:00.000+02:00;1859,088;0,005;VAL;;;;;;
2024-09-01T13:30:00.000+02:00;1859,088;;VAL;;;;;;
2024-09-01T13:45:00.000+02:00;1859,088;;VAL;;;;;;
2024-09-01T14:00:00.000+02:00;1859,093;0,005;VAL;;;;;;
2024-09-01T14:15:00.000+02:00;1859,093;;VAL;;;;;;
2024-09-01T14:30:00.000+02:00;1859,093;;VAL;;;;;;
2024-09-01T14:45:00.000+02:00;1859,094;0,001;VAL;;;;;;
2024-09-01T15:00:00.000+02:00;1859,095;0,001;VAL;;;;;;
2024-09-01T15:15:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T15:30:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T15:45:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T16:00:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T16:15:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T16:30:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T16:45:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T17:00:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T17:15:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T17:30:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T17:45:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T18:00:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T18:15:00.000+02:00;1859,095;;VAL;;;;;;
2024-09-01T18:30:00.000+02:00;1859,097;0,002;VAL;;;;;;
2024-09-01T18:45:00.000+02:00;1859,097;;VAL;;;;;;
2024-09-01T19:00:00.000+02:00;1859,098;0,001;VAL;;;;;;
2024-09-01T19:15:00.000+02:00;1859,116;0,018;VAL;;;;;;
2024-09-01T19:30:00.000+02:00;1859,129;0,013;VAL;;;;;;
2024-09-01T19:45:00.000+02:00;1859,136;0,007;VAL;;;;;;
2024-09-01T20:00:00.000+02:00;1859,147;0,011;VAL;;;;;;
2024-09-01T20:15:00.000+02:00;1859,169;0,022;VAL;;;;;;
2024-09-01T20:30:00.000+02:00;1859,18;0,011;VAL;;;;;;
2024-09-01T20:45:00.000+02:00;1859,212;0,032;VAL;;;;;;
2024-09-01T21:00:00.000+02:00;1859,285;0,073;VAL;;;;;;
2024-09-01T21:15:00.000+02:00;1859,351;0,066;VAL;;;;;;
2024-09-01T21:30:00.000+02:00;1859,395;0,044;VAL;;;;;;
2024-09-01T21:45:00.000+02:00;1859,433;0,038;VAL;;;;;;
2024-09-01T22:00:00.000+02:00;1859,48;0,047;VAL;;;;;;
2024-09-01T22:15:00.000+02:00;1859,517;0,037;VAL;;;;;;
2024-09-01T22:30:00.000+02:00;1859,542;0,025;VAL;;;;;;
2024-09-01T22:45:00.000+02:00;1859,576;0,034;VAL;;;;;;
2024-09-01T23:00:00.000+02:00;1859,598;0,022;VAL;;;;;;
2024-09-01T23:15:00.000+02:00;1859,611;0,013;VAL;;;;;;
2024-09-01T23:30:00.000+02:00;1859,631;0,02;VAL;;;;;;
2024-09-01T23:45:00.000+02:00;1859,654;0,023;VAL;;;;;;
2024-09-02T00:00:00.000+02:00;1859,666;0,012;VAL;;;;;;
2024-09-02T00:15:00.000+02:00;1859,681;0,015;VAL;;;;;;
2024-09-02T00:30:00.000+02:00;1859,707;0,026;VAL;;;;;;
2024-09-02T00:45:00.000+02:00;1859,72;0,013;VAL;;;;;;
2024-09-02T01:00:00.000+02:00;1859,731;0,011;VAL;;;;;;
2024-09-02T01:15:00.000+02:00;1859,757;0,026;VAL;;;;;;
2024-09-02T01:30:00.000+02:00;1859,773;0,016;VAL;;;;;;
2024-09-02T01:45:00.000+02:00;1859,785;0,012;VAL;;;;;;
2024-09-02T02:00:00.000+02:00;1859,805;0,02;VAL;;;;;;
2024-09-02T02:15:00.000+02:00;1859,827;0,022;VAL;;;;;;
2024-09-02T02:30:00.000+02:00;1859,838;0,011;VAL;;;;;;
2024-09-02T02:45:00.000+02:00;1859,854;0,016;VAL;;;;;;
2024-09-02T03:00:00.000+02:00;1859,88;0,026;VAL;;;;;;
2024-09-02T03:15:00.000+02:00;1859,891;0,011;VAL;;;;;;
2024-09-02T03:30:00.000+02:00;1859,903;0,012;VAL;;;;;;
2024-09-02T03:45:00.000+02:00;1859,928;0,025;VAL;;;;;;
2024-09-02T04:00:00.000+02:00;1859,945;0,017;VAL;;;;;;
2024-09-02T04:15:00.000+02:00;1859,957;0,012;VAL;;;;;;
2024-09-02T04:30:00.000+02:00;1859,977;0,02;VAL;;;;;;
2024-09-02T04:45:00.000+02:00;1859,997;0,02;VAL;;;;;;
2024-09-02T05:00:00.000+02:00;1860,006;0,009;VAL;;;;;;
2024-09-02T05:15:00.000+02:00;1860,018;0,012;VAL;;;;;;
2024-09-02T05:30:00.000+02:00;1860,043;0,025;VAL;;;;;;
2024-09-02T05:45:00.000+02:00;1860,053;0,01;VAL;;;;;;
2024-09-02T06:00:00.000+02:00;1860,062;0,009;VAL;;;;;;
2024-09-02T06:15:00.000+02:00;1860,083;0,021;VAL;;;;;;
2024-09-02T06:30:00.000+02:00;1860,099;0,016;VAL;;;;;;
2024-09-02T06:45:00.000+02:00;1860,12;0,021;VAL;;;;;;
2024-09-02T07:00:00.000+02:00;1860,162;0,042;VAL;;;;;;
2024-09-02T07:15:00.000+02:00;1860,206;0,044;VAL;;;;;;
2024-09-02T07:30:00.000+02:00;1860,232;0,026;VAL;;;;;;
2024-09-02T07:45:00.000+02:00;1860,265;0,033;VAL;;;;;;
2024-09-02T08:00:00.000+02:00;1860,292;0,027;VAL;;;;;;
2024-09-02T08:15:00.000+02:00;1860,301;0,009;VAL;;;;;;
2024-09-02T08:30:00.000+02:00;1860,308;0,007;VAL;;;;;;
2024-09-02T08:45:00.000+02:00;1860,328;0,02;VAL;;;;;;
2024-09-02T09:00:00.000+02:00;1860,337;0,009;VAL;;;;;;
2024-09-02T09:15:00.000+02:00;1860,347;0,01;VAL;;;;;;
2024-09-02T09:30:00.000+02:00;1860,388;0,041;VAL;;;;;;
2024-09-02T09:45:00.000+02:00;1860,422;0,034;VAL;;;;;;
2024-09-02T10:00:00.000+02:00;1860,455;0,033;VAL;;;;;;
2024-09-02T10:15:00.000+02:00;1860,497;0,042;VAL;;;;;;
2024-09-02T10:30:00.000+02:00;1860,53;0,033;VAL;;;;;;
2024-09-02T10:45:00.000+02:00;1860,552;0,022;VAL;;;;;;
2024-09-02T11:00:00.000+02:00;1860,578;0,026;VAL;;;;;;
2024-09-02T11:15:00.000+02:00;1860,614;0,036;VAL;;;;;;
2024-09-02T11:30:00.000+02:00;1860,638;0,024;VAL;;;;;;
2024-09-02T11:45:00.000+02:00;1860,664;0,026;VAL;;;;;;
2024-09-02T12:00:00.000+02:00;1860,706;0,042;VAL;;;;;;
2024-09-02T12:15:00.000+02:00;1860,739;0,033;VAL;;;;;;
2024-09-02T12:30:00.000+02:00;1860,765;0,026;VAL;;;;;;
2024-09-02T12:45:00.000+02:00;1860,799;0,034;VAL;;;;;;
2024-09-02T13:00:00.000+02:00;1860,833;0,034;VAL;;;;;;
2024-09-02T13:15:00.000+02:00;1860,857;0,024;VAL;;;;;;
2024-09-02T13:30:00.000+02:00;1860,869;0,012;VAL;;;;;;
2024-09-02T13:45:00.000+02:00;1860,904;0,035;VAL;;;;;;
2024-09-02T14:00:00.000+02:00;1860,925;0,021;VAL;;;;;;
2024-09-02T14:15:00.000+02:00;1860,946;0,021;VAL;;;;;;
2024-09-02T14:30:00.000+02:00;1860,98;0,034;VAL;;;;;;
2024-09-02T14:45:00.000+02:00;1861,006;0,026;VAL;;;;;;
2024-09-02T15:00:00.000+02:00;1861,026;0,02;VAL;;;;;;
2024-09-02T15:15:00.000+02:00;1861,053;0,027;VAL;;;;;;
2024-09-02T15:30:00.000+02:00;1861,375;0,322;VAL;;;;;;
2024-09-02T15:45:00.000+02:00;1861,389;0,014;VAL;;;;;;
2024-09-02T16:00:00.000+02:00;1861,402;0,013;VAL;;;;;;
2024-09-02T16:15:00.000+02:00;1861,408;0,006;VAL;;;;;;
2024-09-02T16:30:00.000+02:00;1861,411;0,003;VAL;;;;;;
2024-09-02T16:45:00.000+02:00;1861,416;0,005;VAL;;;;;;
2024-09-02T17:00:00.000+02:00;1861,431;0,015;VAL;;;;;;
2024-09-02T17:15:00.000+02:00;1861,456;0,025;VAL;;;;;;
2024-09-02T17:30:00.000+02:00;1861,532;0,076;VAL;;;;;;
2024-09-02T17:45:00.000+02:00;1861,539;0,007;VAL;;;;;;
2024-09-02T18:00:00.000+02:00;1861,549;0,01;VAL;;;;;;
2024-09-02T18:15:00.000+02:00;1861,574;0,025;VAL;;;;;;
2024-09-02T18:30:00.000+02:00;1861,59;0,016;VAL;;;;;;
2024-09-02T18:45:00.000+02:00;1861,601;0,011;VAL;;;;;;
2024-09-02T19:00:00.000+02:00;1861,621;0,02;VAL;;;;;;
2024-09-02T19:15:00.000+02:00;1861,644;0,023;VAL;;;;;;
2024-09-02T19:30:00.000+02:00;1861,655;0,011;VAL;;;;;;
2024-09-02T19:45:00.000+02:00;1861,669;0,014;VAL;;;;;;
2024-09-02T20:00:00.000+02:00;1861,695;0,026;VAL;;;;;;
2024-09-02T20:15:00.000+02:00;1861,723;0,028;VAL;;;;;;
2024-09-02T20:30:00.000+02:00;1861,738;0,015;VAL;;;;;;
2024-09-02T20:45:00.000+02:00;1861,765;0,027;VAL;;;;;;
2024-09-02T21:00:00.000+02:00;1862,149;0,384;VAL;;;;;;
2024-09-02T21:15:00.000+02:00;1862,17;0,021;VAL;;;;;;
2024-09-02T21:30:00.000+02:00;1862,193;0,023;VAL;;;;;;
2024-09-02T21:45:00.000+02:00;1862,228;0,035;VAL;;;;;;
2024-09-02T22:00:00.000+02:00;1862,243;0,015;VAL;;;;;;
2024-09-02T22:15:00.000+02:00;1862,263;0,02;VAL;;;;;;
2024-09-02T22:30:00.000+02:00;1862,301;0,038;VAL;;;;;;
2024-09-02T22:45:00.000+02:00;1862,322;0,021;VAL;;;;;;
2024-09-02T23:00:00.000+02:00;1862,332;0,01;VAL;;;;;;
2024-09-02T23:15:00.000+02:00;1862,348;0,016;VAL;;;;;;
2024-09-02T23:30:00.000+02:00;1862,374;0,026;VAL;;;;;;
2024-09-02T23:45:00.000+02:00;1862,387;0,013;VAL;;;;;;
2024-09-03T00:00:00.000+02:00;1862;0,013;VAL;;;;;;
2024-09-03T00:15:00.000+02:00;1862,425;0,025;VAL;;;;;;
2024-09-03T00:30:00.000+02:00;1862,44;0,015;VAL;;;;;;
2024-09-03T00:45:00.000+02:00;1862,45;0,01;VAL;;;;;;
2024-09-03T01:00:00.000+02:00;1862,467;0,017;VAL;;;;;;
2024-09-03T01:15:00.000+02:00;1862,488;0,021;VAL;;;;;;
2024-09-03T01:30:00.000+02:00;1862,498;0,01;VAL;;;;;;
2024-09-03T01:45:00.000+02:00;1862,508;0,01;VAL;;;;;;
2024-09-03T02:00:00.000+02:00;1862,533;0,025;VAL;;;;;;
2024-09-03T02:15:00.000+02:00;1862,545;0,012;VAL;;;;;;
2024-09-03T02:30:00.000+02:00;1862,555;0,01;VAL;;;;;;
2024-09-03T02:45:00.000+02:00;1862,574;0,019;VAL;;;;;;
2024-09-03T03:00:00.000+02:00;1862,593;0,019;VAL;;;;;;
2024-09-03T03:15:00.000+02:00;1862,602;0,009;VAL;;;;;;
2024-09-03T03:30:00.000+02:00;1862,615;0,013;VAL;;;;;;
2024-09-03T03:45:00.000+02:00;1862,639;0,024;VAL;;;;;;
2024-09-03T04:00:00.000+02:00;1862,649;0,01;VAL;;;;;;
2024-09-03T04:15:00.000+02:00;1862,659;0,01;VAL;;;;;;
2024-09-03T04:30:00.000+02:00;1862,681;0,022;VAL;;;;;;
2024-09-03T04:45:00.000+02:00;1862,697;0,016;VAL;;;;;;
2024-09-03T05:00:00.000+02:00;1862,707;0,01;VAL;;;;;;
2024-09-03T05:15:00.000+02:00;1862,724;0,017;VAL;;;;;;
2024-09-03T05:30:00.000+02:00;1862,744;0,02;VAL;;;;;;
2024-09-03T05:45:00.000+02:00;1862,754;0,01;VAL;;;;;;
2024-09-03T06:00:00.000+02:00;1862,765;0,011;VAL;;;;;;
2024-09-03T06:15:00.000+02:00;1862,79;0,025;VAL;;;;;;
2024-09-03T06:30:00.000+02:00;1862,801;0,011;VAL;;;;;;
2024-09-03T06:45:00.000+02:00;1862,811;0,01;VAL;;;;;;
2024-09-03T07:00:00.000+02:00;1862,831;0,02;VAL;;;;;;
2024-09-03T07:15:00.000+02:00;1862,844;0,013;VAL;;;;;;
2024-09-03T07:30:00.000+02:00;1862,851;0,007;VAL;;;;;;
2024-09-03T07:45:00.000+02:00;1862,865;0,014;VAL;;;;;;
2024-09-03T08:00:00.000+02:00;1862,901;0,036;VAL;;;;;;
2024-09-03T08:15:00.000+02:00;1862,923;0,022;VAL;;;;;;
2024-09-03T08:30:00.000+02:00;1863,032;0,109;VAL;;;;;;
2024-09-03T08:45:00.000+02:00;1863,226;0,194;VAL;;;;;;
2024-09-03T09:00:00.000+02:00;1863,255;0,029;VAL;;;;;;
2024-09-03T09:15:00.000+02:00;1863,285;0,03;VAL;;;;;;
2024-09-03T09:30:00.000+02:00;1863,322;0,037;VAL;;;;;;
2024-09-03T09:45:00.000+02:00;1863,352;0,03;VAL;;;;;;
2024-09-03T10:00:00.000+02:00;1863,382;0,03;VAL;;;;;;
2024-09-03T10:15:00.000+02:00;1863,426;0,044;VAL;;;;;;
2024-09-03T10:30:00.000+02:00;1863,454;0,028;VAL;;;;;;
2024-09-03T10:45:00.000+02:00;1863,474;0,02;VAL;;;;;;
2024-09-03T11:00:00.000+02:00;1863,497;0,023;VAL;;;;;;
2024-09-03T11:15:00.000+02:00;1863,518;0,021;VAL;;;;;;
2024-09-03T11:30:00.000+02:00;1863,532;0,014;VAL;;;;;;
2024-09-03T11:45:00.000+02:00;1863,555;0,023;VAL;;;;;;
2024-09-03T12:00:00.000+02:00;1863,584;0,029;VAL;;;;;;
2024-09-03T12:15:00.000+02:00;1863,599;0,015;VAL;;;;;;
2024-09-03T12:30:00.000+02:00;1863,612;0,013;VAL;;;;;;
2024-09-03T12:45:00.000+02:00;1863,94;0,328;VAL;;;;;;
2024-09-03T13:00:00.000+02:00;1864,315;0,375;VAL;;;;;;
2024-09-03T13:15:00.000+02:00;1864,332;0,017;VAL;;;;;;
2024-09-03T13:30:00.000+02:00;1864,343;0,011;VAL;;;;;;
2024-09-03T13:45:00.000+02:00;1864,382;0,039;VAL;;;;;;
2024-09-03T14:00:00.000+02:00;1864,397;0,015;VAL;;;;;;
2024-09-03T14:15:00.000+02:00;1864,418;0,021;VAL;;;;;;
2024-09-03T14:30:00.000+02:00;1864,45;0,032;VAL;;;;;;
2024-09-03T14:45:00.000+02:00;1864,468;0,018;VAL;;;;;;
2024-09-03T15:00:00.000+02:00;1864,48;0,012;VAL;;;;;;
2024-09-03T15:15:00.000+02:00;1864,498;0,018;VAL;;;;;;
2024-09-03T15:30:00.000+02:00;1864,506;0,008;VAL;;;;;;
2024-09-03T15:45:00.000+02:00;1864,506;;VAL;;;;;;
2024-09-03T16:00:00.000+02:00;1864,506;;VAL;;;;;;
2024-09-03T16:15:00.000+02:00;1864,506;;VAL;;;;;;
2024-09-03T16:30:00.000+02:00;1864,506;;VAL;;;;;;
2024-09-03T16:45:00.000+02:00;1864,506;;VAL;;;;;;
2024-09-03T17:00:00.000+02:00;1864,506;;VAL;;;;;;
2024-09-03T17:15:00.000+02:00;1864,506;;VAL;;;;;;
2024-09-03T17:30:00.000+02:00;1864,506;;VAL;;;;;;
2024-09-03T17:45:00.000+02:00;1864,509;0,003;VAL;;;;;;
2024-09-03T18:00:00.000+02:00;1864,509;;VAL;;;;;;
2024-09-03T18:15:00.000+02:00;1864,515;0,006;VAL;;;;;;
2024-09-03T18:30:00.000+02:00;1864,564;0,049;VAL;;;;;;
2024-09-03T18:45:00.000+02:00;1864,609;0,045;VAL;;;;;;
2024-09-03T19:00:00.000+02:00;1864,635;0,026;VAL;;;;;;
2024-09-03T19:15:00.000+02:00;1864,644;0,009;VAL;;;;;;
2024-09-03T19:30:00.000+02:00;1864,667;0,023;VAL;;;;;;
2024-09-03T19:45:00.000+02:00;1864,677;0,01;VAL;;;;;;
2024-09-03T20:00:00.000+02:00;1864,685;0,008;VAL;;;;;;
2024-09-03T20:15:00.000+02:00;1864,703;0,018;VAL;;;;;;
2024-09-03T20:30:00.000+02:00;1864,729;0,026;VAL;;;;;;
2024-09-03T20:45:00.000+02:00;1864,742;0,013;VAL;;;;;;
2024-09-03T21:00:00.000+02:00;1864,758;0,016;VAL;;;;;;
2024-09-03T21:15:00.000+02:00;1864,784;0,026;VAL;;;;;;
2024-09-03T21:30:00.000+02:00;1864,798;0,014;VAL;;;;;;
2024-09-03T21:45:00.000+02:00;1864,855;0,057;VAL;;;;;;
2024-09-03T22:00:00.000+02:00;1864,923;0,068;VAL;;;;;;
2024-09-03T22:15:00.000+02:00;1864,977;0,054;VAL;;;;;;
2024-09-03T22:30:00.000+02:00;1865,029;0,052;VAL;;;;;;
2024-09-03T22:45:00.000+02:00;1865,085;0,056;VAL;;;;;;
2024-09-03T23:00:00.000+02:00;1865,115;0,03;VAL;;;;;;
2024-09-03T23:15:00.000+02:00;1865,131;0,016;VAL;;;;;;
2024-09-03T23:30:00.000+02:00;1865,158;0,027;VAL;;;;;;
2024-09-03T23:45:00.000+02:00;1865,174;0,016;VAL;;;;;;
2024-09-04T00:00:00.000+02:00;1865,186;0,012;VAL;;;;;;
2024-09-04T00:15:00.000+02:00;1865,207;0,021;VAL;;;;;;
2024-09-04T00:30:00.000+02:00;1865,226;0,019;VAL;;;;;;
2024-09-04T00:45:00.000+02:00;1865,236;0,01;VAL;;;;;;
2024-09-04T01:00:00.000+02:00;1865,249;0,013;VAL;;;;;;
2024-09-04T01:15:00.000+02:00;1865,27;0,021;VAL;;;;;;
2024-09-04T01:30:00.000+02:00;1865,278;0,008;VAL;;;;;;
2024-09-04T01:45:00.000+02:00;1865,288;0,01;VAL;;;;;;
2024-09-04T02:00:00.000+02:00;1865,311;0,023;VAL;;;;;;
2024-09-04T02:15:00.000+02:00;1865,319;0,008;VAL;;;;;;
2024-09-04T02:30:00.000+02:00;1865,327;0,008;VAL;;;;;;
2024-09-04T02:45:00.000+02:00;1865,349;0,022;VAL;;;;;;
2024-09-04T03:00:00.000+02:00;1865,36;0,011;VAL;;;;;;
2024-09-04T03:15:00.000+02:00;1865,369;0,009;VAL;;;;;;
2024-09-04T03:30:00.000+02:00;1865,387;0,018;VAL;;;;;;
2024-09-04T03:45:00.000+02:00;1865,402;0,015;VAL;;;;;;
2024-09-04T04:00:00.000+02:00;1865,41;0,008;VAL;;;;;;
2024-09-04T04:15:00.000+02:00;1865,424;0,014;VAL;;;;;;
2024-09-04T04:30:00.000+02:00;1865,443;0,019;VAL;;;;;;
2024-09-04T04:45:00.000+02:00;1865,451;0,008;VAL;;;;;;
2024-09-04T05:00:00.000+02:00;1865,462;0,011;VAL;;;;;;
2024-09-04T05:15:00.000+02:00;1865,484;0,022;VAL;;;;;;
2024-09-04T05:30:00.000+02:00;1865,493;0,009;VAL;;;;;;
2024-09-04T05:45:00.000+02:00;1865,502;0,009;VAL;;;;;;
2024-09-04T06:00:00.000+02:00;1865,524;0,022;VAL;;;;;;
2024-09-04T06:15:00.000+02:00;1865,535;0,011;VAL;;;;;;
2024-09-04T06:30:00.000+02:00;1865,543;0,008;VAL;;;;;;
2024-09-04T06:45:00.000+02:00;1865,561;0,018;VAL;;;;;;
2024-09-04T07:00:00.000+02:00;1865,575;0,014;VAL;;;;;;
2024-09-04T07:15:00.000+02:00;1865,582;0,007;VAL;;;;;;
2024-09-04T07:30:00.000+02:00;1865,604;0,022;VAL;;;;;;
2024-09-04T07:45:00.000+02:00;1865,622;0,018;VAL;;;;;;
2024-09-04T08:00:00.000+02:00;1865,627;0,005;VAL;;;;;;
2024-09-04T08:15:00.000+02:00;1865,654;0,027;VAL;;;;;;
2024-09-04T08:30:00.000+02:00;1865,691;0,037;VAL;;;;;;
2024-09-04T08:45:00.000+02:00;1865,73;0,039;VAL;;;;;;
2024-09-04T09:00:00.000+02:00;1865,753;0,023;VAL;;;;;;
2024-09-04T09:15:00.000+02:00;1865,791;0,038;VAL;;;;;;
2024-09-04T09:30:00.000+02:00;1865,814;0,023;VAL;;;;;;
2024-09-04T09:45:00.000+02:00;1865,836;0,022;VAL;;;;;;
2024-09-04T10:00:00.000+02:00;1865,865;0,029;VAL;;;;;;
2024-09-04T10:15:00.000+02:00;1866,151;0,286;VAL;;;;;;
2024-09-04T10:30:00.000+02:00;1866,241;0,09;VAL;;;;;;
2024-09-04T10:45:00.000+02:00;1866,288;0,047;VAL;;;;;;
2024-09-04T11:00:00.000+02:00;1866,551;0,263;VAL;;;;;;
2024-09-04T11:15:00.000+02:00;1866,709;0,158;VAL;;;;;;
2024-09-04T11:30:00.000+02:00;1866,73;0,021;VAL;;;;;;
2024-09-04T11:45:00.000+02:00;1866,757;0,027;VAL;;;;;;
2024-09-04T12:00:00.000+02:00;1866,778;0,021;VAL;;;;;;
2024-09-04T12:15:00.000+02:00;1866,788;0,01;VAL;;;;;;
2024-09-04T12:30:00.000+02:00;1866,816;0,028;VAL;;;;;;
2024-09-04T12:45:00.000+02:00;1867,116;0;VAL;;;;;;
2024-09-04T13:00:00.000+02:00;1867,706;0,59;VAL;;;;;;
2024-09-04T13:15:00.000+02:00;1868,144;0,438;VAL;;;;;;
2024-09-04T13:30:00.000+02:00;1868,251;0,107;VAL;;;;;;
2024-09-04T13:45:00.000+02:00;1868,342;0,091;VAL;;;;;;
2024-09-04T14:00:00.000+02:00;1868,375;0,033;VAL;;;;;;
2024-09-04T14:15:00.000+02:00;1868,413;0,038;VAL;;;;;;
2024-09-04T14:30:00.000+02:00;1868,476;0,063;VAL;;;;;;
2024-09-04T14:45:00.000+02:00;1868,556;0,08;VAL;;;;;;
2024-09-04T15:00:00.000+02:00;1868,64;0,084;VAL;;;;;;
2024-09-04T15:15:00.000+02:00;1868,698;0,058;VAL;;;;;;
2024-09-04T15:30:00.000+02:00;1868,751;0,053;VAL;;;;;;
2024-09-04T15:45:00.000+02:00;1868,765;0,014;VAL;;;;;;
2024-09-04T16:00:00.000+02:00;1868,792;0,027;VAL;;;;;;
2024-09-04T16:15:00.000+02:00;1868,839;0,047;VAL;;;;;;
2024-09-04T16:30:00.000+02:00;1868,876;0,037;VAL;;;;;;
2024-09-04T16:45:00.000+02:00;1868,901;0,025;VAL;;;;;;
2024-09-04T17:00:00.000+02:00;1868,939;0,038;VAL;;;;;;
2024-09-04T17:15:00.000+02:00;1868,958;0,019;VAL;;;;;;
2024-09-04T17:30:00.000+02:00;1868,976;0,018;VAL;;;;;;
2024-09-04T17:45:00.000+02:00;1869,003;0,027;VAL;;;;;;
